平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
二十四迥,上声,第十一部,ian,冼,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/580
二十四迥,上声,第十一部,uang,迥炯,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋…,2/164
二十五有,上声,第十二部,ang,莽,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,1/523
二十五有,上声,第十二部,au,茆吼,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,2/468
二十五有,上声,第十二部,i,否,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
二十五有,上声,第十二部,iau,愀,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/413
二十五有,上声,第十二部,iu,黝守浏羑右丑琇受纠肘绶狃忸纽扭玖揉九牖钮纣酒臼诱罶柳手莠喽酉鲰寿帚首咎韭赳有蹂友阄优掊绺廋久舅愀卣授掫,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠瞅醜臭稻丟…,51/326
二十五有,上声,第十二部,iun,朽糗,臭復幼休咻髹庥貅鵂幽攸悠麀嗅溴,2/17
二十五有,上声,第十二部,o,笱,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/383
二十五有,上声,第十二部,ok,服嗾,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,2/299
二十五有,上声,第十二部,ong,牡,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,1/317
二十五有,上声,第十二部,ou,笱瞍呕枓溲藕叩扣某厚后走殴剖欧口擞苟牡薮狗耦抖偶廋溇蚪陡垢枸斗叟诟,煲哺補补布步埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼豆逗鬥脰痘餖…,33/333
二十五有,上声,第十二部,u,取𪣻部负姆妇篓阜趣喽拇嵝亩母,煲烳逋晡捕哺補补布步佈怖埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨躇…,14/719
二十五有,上声,第十二部,ui,掊缶培,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,3/464
二十六寝,上声,第十三部,a,怎,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
二十六寝,上声,第十三部,ai,怎,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/355
二十六寝,上声,第十三部,an,怎,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
二十六寝,上声,第十三部,im,荏锦沈懔饪凛审婶浸衽枕寝葚饮噤朕甚廪恁谂稔锓,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦妗禁寖林淋琳啉霖臨临凜廩…,22/158
二十六寝,上声,第十三部,in,您品恁禀,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟摒嗔瞋臣辰宸陳陈晨…,4/280
二十六寝,上声,第十三部,o,怎,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
二十六寝,上声,第十三部,un,蕈,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
二十六寝,上声,第十三部,urn,您恁,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤…,2/63
二十七感,上声,第十四部,am,惨敢澹嵌萏胆昝揽橄感喊憯撼贉糁錾赣毯菡淡暗颔眈坎啖览榄,癌庵盦諳谙闇鵪鹌揞黯叄叁參参驂骖慚惭慙蠶蚕慘岑涔摻掺攙搀儳巉…,27/229
二十七感,上声,第十四部,ap,噆,凹插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋盖鴿鸽蛤合佮頜颌郃盍盒闔阖圾…,1/124
二十七感,上声,第十四部,iam,椠,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,1/214
二十八琰,上声,第十四部,iam,俨𤞤慊厌冉检玷堑敛捡魇险芡扂潋簟罨渰黡阉餂掩陕睒奄渐嗛苒崦点剡忝歉焰俭琰谄闪染,覘觇幨嬋婵蟬蝉蟾諂敁掂踮點坫店惦墊垫鞥尖兼蒹緘缄縑缣殲歼減减…,39/214
二十八琰,上声,第十四部,ian,脸贬,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶碥稨褊藊卞弁汴忭便遍辨辮…,2/582
二十八琰,上声,第十四部,iap,靥擫陕,臿插堞喋牒碟蝶蹀諜谍疊叠浹浃裌夹夾郟郏莢荚袷蛺蛱鋏铗頰颊接劫…,3/129
二十九豏,上声,第十四部,am,槛湛掺斩巉喊舰黯阚滥,癌庵盦諳谙闇鵪鹌揞暗叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻攙搀儳…,10/228
二十九豏,上声,第十四部,iam,歉减,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,2/214
二十九豏,上声,第十四部,uam,犯范,帆凡釩钒樊礬矾氾泛汎梵範患,2/15
一送,去声,第一部,am,赣,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,1/229
一送,去声,第一部,ang,砻,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,1/512
一送,去声,第一部,iong,众瓮仲中衷淞,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,6/184
一送,去声,第一部,ong,弄蕻瓮凤赗梦控空讽峒送恫痛洞贡栋幪恸湩哄冻鞚,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,22/313
二宋,去声,第一部,iong,踵重供从壅用灉拱恐颂诵种共讼纵雍,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從叢丛弓恭躬宮宫龔…,16/184
二宋,去声,第一部,ong,疭统综俸宋葑封缝,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,8/314
二宋,去声,第一部,un,蠢,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
三绛,去声,第二部,ang,绛巷,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,2/521
三绛,去声,第二部,eng,虹,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
三绛,去声,第二部,iang,洚降,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,2/262
三绛,去声,第二部,iong,艟憧,冲充沖忡茺翀舂衝崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮宫龔…,2/184
三绛,去声,第二部,ong,淙幢虹哄戆,盎幫帮膀蚌磅鎊镑甭泵窗囱匆蔥葱聰聪驄骢琮蕩荡冬東东咚氡蝀鼕董…,5/316
三绛,去声,第二部,uang,撞,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋…,1/164
三绛,去声,第二部,un,蠢,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
四寘,去声,第三部,ai,柴晒暨,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,3/346
四寘,去声,第三部,au,蚝,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,1/491
四寘,去声,第三部,eh,篑,嗌掰白百佰柏伯帛擘冊册策奼姹仛厄阨扼軛轭挌革格鬲隔嗝搿膈骼鎘…,1/95
四寘,去声,第三部,ek,值瑟易厕亟积德识植埴食织,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁測测…,12/426
四寘,去声,第三部,i,挚蚑弃帔吏魅牸啻寄志雉辔泪示被始诒缢芰懿痢利其徛帜试离备器炽忮易厕地亟记畤异议薏勚毖质媚视鼻眙痣嗜曀贲骥忌莳貤洎劓薙屃致庇施詈置觊刵儗跂屣珥莅季嬖义肄冀意比泌贽陂里畀踬譬濞戏智避侍识豉痹稚饐鸷治秘翅企莉骑谥暨至赑谊几臂,稗卑背悲碑備鞁憊惫鞴賁屄腟匕疕妣彼秕俾鄙魮𱇒痺陛狴閉闭敝婢蓖…,109/945
四寘,去声,第三部,iat,轾,憋徶鱉鳖別别彆癶掣撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖鳜虢唧即恝揭…,1/152
四寘,去声,第三部,it,跸质,筆笔必苾蓽荜嗶哔鉍铋觱篳筚蹕癟瘪叱熾得鍀锝迭昳佛蝠嫉瘠蹐鶺鹡…,2/96
四寘,去声,第三部,o,哆跛,阿襖袄薄保寶宝抱報报波玻菠播嶓簸啵糙曹槽草初鋤锄楚礎础搓磋矬…,2/382
四寘,去声,第三部,or,地,代岱埭袋戴短塊块腡脶螺羅罗胎苔桃退蛻蜕褪災灾菑載载在助罪作坐…,1/33
四寘,去声,第三部,ua,倚,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/116
四寘,去声,第三部,uai,率,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪…,1/55
四寘,去声,第三部,ueh,诐,恶惡刮郭𰉗砉划劃噦哕沫詖缺闕阙闋阕刷唰涮說说襪袜物血月刖畫𠱀,1/31
四寘,去声,第三部,ui,魅类祟喂槌邃彗泪穟怼恚瘁瑞遗寐隧累匮坠悸萃喟燧锤篑委愧岿睢为费悴伪馈位粹睡翠缒遂蒉萎嫘吹惴穗醉膇蔧诿,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌炊垂陲捶搥棰…,50/462
四寘,去声,第三部,un,贲,奔逩賁錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑蠢…,1/377
四寘,去声,第三部,ur,二胾泗驶胔孳饵赐迟思次饲驷嗣渍字四寺澌事贰自师腻刺司肆使伺恣眦笥食柜,差車车哧茌遲除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚賜噁…,34/308
四寘,去声,第三部,urn,近,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑劤靳…,1/63
四寘,去声,第三部,ut,出术率,不鈈钚齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩骨…,3/113
五未,去声,第三部,ai,概溉暨忾,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,4/355
五未,去声,第三部,i,毅气味既衣暨欷忾,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,8/958
五未,去声,第三部,u,纡,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/726
五未,去声,第三部,uai,汇,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯會会薈荟澮浍檜桧繪绘…,1/55
五未,去声,第三部,ue,未,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,1/196
五未,去声,第三部,ui,魏翡蔚尉芾卉未畏谓味痱纬汇狒胃玮讳渭沸猬扉费慰贵,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,24/462
五未,去声,第三部,uinn,蜚,虺,1/2
五未,去声,第三部,ut,芾,不鈈钚出齣怵黜猝咄柮飿饳弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩骨榾…,1/111
六御,去声,第四部,ai,劾,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/355
六御,去声,第四部,eng,宁,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
六御,去声,第四部,i,御据豫蓣去锯讵淤女预茹嘘倨欤誉虑踞语,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,18/960
六御,去声,第四部,iak,著,杓蘗綽绰菔皭爵嚼撂掠略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛…,1/65
六御,去声,第四部,o,诅俎楚助疏,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄礎础搓磋…,5/385
六御,去声,第四部,u,诅狙胠除署曙处絮庶沮薯翥茹如箸恕洳,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗芻刍滁蜍鋤锄廚厨躇…,17/725
六御,去声,第四部,ur,与驭遽饫礜滪醵,差車车哧茌遲迟鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次伺…,7/288
七遇,去声,第四部,a,姹,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
七遇,去声,第四部,ak,作恶涸错,雹暴爆㩧北剝剥亳博搏駁驳膊戳錯毒獨独讀读踱鐸铎堊垩鄂惡萼愕腭…,4/198
七遇,去声,第四部,ek,斁,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/425
七遇,去声,第四部,i,寓瞿雨具遇呴句,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,7/960
七遇,去声,第四部,iok,足属,隩畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉可克刻氪六陸陆淥…,2/147
七遇,去声,第四部,o,禺错,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,2/374
七遇,去声,第四部,ok,恶辂副鹜仆度,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,6/294
七遇,去声,第四部,ou,斁镀句,煲補补部埠踄簿愁廚厨觕湊凑腠輳辏粗都唗兜篼抖枓陡蚪斗豆逗鬥脰…,3/310
七遇,去声,第四部,u,疰痼兔注慕措铸寤妒厝锢恶赂埧酗苦吁吐露娶附互副冱暮素诂树护芋蛀怒故潞鲋负数愫谕诉炷富步赴渡住捕鹜胙雾赋璐妇圃阜戽趣赙孺昫固误蠹雨飓祚讣迕顾具瓠污怖仆忤布晤捂煦哺傅聚铺务圬悟墓路度库输骛醋妪驻驱付觎溯屡嗉鹭惧裕驸募塑婺跗菟酺,煲烳逋晡補补佈部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨躇雛雏櫥橱…,111/725
七遇,去声,第四部,ua,胯,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/115
七遇,去声,第四部,uak,获,郭崞椁槨漷穫蠖鑊镬廓擴扩彍𭚦蜀朔搠蒴槊嗍矱濁浊濯數孑獲,1/28
七遇,去声,第四部,ue,戍,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,1/201
七遇,去声,第四部,uek,获,嘓啯國国划劃或惑獲湨役疫域撮嘬玨珏瑴潑鈸末茇綴裰刖說曰斡粵越…,1/89
七遇,去声,第四部,uh,呴,哱欻鶻鹘焌窟噗入射腯吸㰵嘬,1/14
七遇,去声,第四部,ur,蒟,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,1/305
八霁,去声,第三部,ai,釱逮,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,2/354
八霁,去声,第三部,e,些,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗扯尺爹父華华藉籍加…,1/156
八霁,去声,第三部,ek,薜晰,隘白百佰柏薄北逼愎煏愊碧壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測测…,2/426
八霁,去声,第三部,i,涕戾裔砌闭蓟屉柢羿剂袂蒂禊悌帝契弊偈愒祭筮殪谜离诣砅曳艺瘗翳婿例谛齐隶曀系粝睥剃泥砺荠霓弟薙切捩繄滞计币妻誓棣娣嬖荔霁睨噬堄唳俪淠傺睇递疠题濞势逝蔽替济励毙敝制彘媲厉缔憩继呓第际细蛎嚏盭丽罽,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,95/956
八霁,去声,第三部,ian,沴,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
八霁,去声,第三部,iap,泄,臿插堞喋牒碟蝶蹀諜谍疊叠浹浃裌夹夾郟郏莢荚袷蛺蛱鋏铗頰颊接劫…,1/129
八霁,去声,第三部,iat,橛鳜切掣锲揭蹶,憋徶鱉鳖別别彆癶撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖虢唧即恝孑拮桀…,7/153
八霁,去声,第三部,iau,橇,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
八霁,去声,第三部,ik,浙,結一殖咽乙釔逸迭佚佾妷泆軼必筆觱鉍畢篳蓽苾蹕癟㿜弼嗶匹疋滅宓…,1/61
八霁,去声,第三部,in,箅,篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,1/280
八霁,去声,第三部,oih,挤,八捌拔擠裌夹夾莢荚節节截笠塞俠侠狹狭楔挾挟意代𩐅,1/25
八霁,去声,第三部,ua,拽挂,貝贝播簸大帶带舵蓋盖歌呱瓜卦掛罣罫褂禾何和龢花華华嘩哗鏵铧驊…,2/113
八霁,去声,第三部,uah,拽,峇茇跋癶缽钵鉢撥拨博鈸钹叱錯错掇伐割葛轕𮝺刮喝划劃活渴闊阔辣…,1/57
八霁,去声,第三部,uat,缀惙说,拔茇跋魃鼥般孛荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜輟辍撮咄…,3/114
八霁,去声,第三部,ue,缀岁税讆髻帨哕,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,7/192
八霁,去声,第三部,ueh,哕,恶惡刮郭𰉗砉划劃噦沫詖诐缺闕阙闋阕刷唰涮說襪袜物血月刖畫𠱀,1/30
八霁,去声,第三部,ui,蕙彗慧岁桂睿毳锐汭蟪赘蜕芮惠卫脆穗枘,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,18/463
八霁,去声,第三部,ur,世眦,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,2/307
九泰,去声,第五部,a,大,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
九泰,去声,第五部,ai,蔡茷旆霈盖害蔼柰大泰太霭癞奈濑釱赖带沛赉艾汰丐籁,哎哀埃挨唉捱皚皑矮藹靄砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜敗败稗…,24/355
九泰,去声,第五部,ap,磕,凹插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋鴿鸽蛤合佮頜颌郃盍盒闔阖圾集…,1/123
九泰,去声,第五部,i,粝愒,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,2/960
九泰,去声,第五部,uai,浍酹狯桧侩外脍绘会,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會薈澮檜繪蒯擓㧟快…,9/54
九泰,去声,第五部,ue,哕沬濊,掰㧳杯揹背貝倍狽悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌裰飛飞沸…,3/192
九泰,去声,第五部,ueh,哕,恶惡刮郭𰉗砉划劃噦沫詖诐缺闕阙闋阕刷唰涮說说襪袜物血月刖畫𠱀,1/31
九泰,去声,第五部,ui,贝酹兑狈蜕最翙昧荟会,杯卑背椑悲貝倍狽悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥棰槌…,10/464
十卦,去声,第五部,a,瘥,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
十卦,去声,第五部,ai,诫廨晒解芥拜债瘵瀣械疥薤界迈戒寨砦败湃派隘介届卖虿邂呗懈,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬敗憊…,28/352
十卦,去声,第五部,at,杀喝铩煞,八捌別别桲擦察鑔镲墶垯噠哒笪達达靼繨𫄤韃鞑遏割葛曷核鞨褐戛癤…,4/98
十卦,去声,第五部,eh,嗌篑,掰白百佰柏伯帛擘冊册策奼姹仛厄阨軛轭挌革格鬲隔嗝搿膈骼鎘镉硌…,2/94
十卦,去声,第五部,ek,扼,白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測测…,1/425
十卦,去声,第五部,i,惫稗攦噫祭,陂卑背悲碑被備备鞁憊鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀痺毖…,5/959
十卦,去声,第五部,ia,价,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚…,1/138
十卦,去声,第五部,oi,哙,挨矮𠜱釵钗喫代堤底改噲鮭鲑會会𣍐𫧃𠁞𠀾雞鸡計计濟济㩼階阶街犁…,1/74
十卦,去声,第五部,ua,话挂画卦,貝贝播簸大帶带舵蓋盖歌呱瓜掛罣罫褂禾何和龢花華华嘩哗鏵铧驊骅…,4/116
十卦,去声,第五部,uai,浍夬狯快哙坏蒯块怪,乖拐𧊅柺噲鮭鲑劊刽徊淮槐懷怀壞匯汇會会薈荟澮檜桧繪绘擓㧟塊筷…,9/55
十卦,去声,第五部,uat,嘬,拔茇跋魃鼥般孛荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜惙輟辍撮…,1/114
十卦,去声,第五部,ui,啐瞆蒉喟篑,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,5/464
十一队,去声,第五部,ai,态瀣铠概贷栽阂戴忾岱裁代睐菜在叇碍玳襶鼐耐溉黛采茷慨再袋逮赛埭载劾塞赉,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙岸捭擺摆襬拜敗…,35/351
十一队,去声,第五部,au,瑁,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,1/491
十一队,去声,第五部,ek,北塞,隘白百佰柏薄逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測测…,2/424
十一队,去声,第五部,i,忾乂柿儗刈,稗陂卑悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀痺…,5/957
十一队,去声,第五部,oi,代,挨矮𠜱釵钗喫堤底改噲哙鮭鲑會会𣍐𫧃𠁞𠀾雞鸡計计濟济㩼階阶街解…,1/77
十一队,去声,第五部,or,代,地短塊腡脶螺羅罗胎苔桃蛻蜕褪災灾菑載助罪作坐座做,1/25
十一队,去声,第五部,uah,秣,峇茇跋癶缽钵鉢撥拨博鈸钹掣叱錯错掇伐割葛轕𮝺刮喝划劃活渴闊阔…,1/58
十一队,去声,第五部,uai,酹块,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪…,2/55
十一队,去声,第五部,uat,筏孛拔,茇跋魃鼥般荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜惙輟辍撮咄剟…,3/114
十一队,去声,第五部,ue,濊秣,掰㧳杯揹貝贝倍狽狈被蓓碚誖褙輩鋇钡菠揣吹炊棰箠兌兑裰飛飞沸瓜…,2/186
十一队,去声,第五部,ui,佩队焠背类焙妹配晬悖秽愦綷肺脢废回淬耒对啐退喙内碎霉悔诲妃吠酹辈碓溃晦昧硙,杯卑椑悲貝贝倍狽狈蓓碚誖輩扯𠡒揣膗踹膪圌吹炊垂陲捶搥棰槌箠錘…,37/464
十一队,去声,第五部,un,敦,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
十一队,去声,第五部,ut,祓,不鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟艴紱绂紼绋髴黻汩骨…,1/114
十二震,去声,第六部,an,趁,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
十二震,去声,第六部,i,牣,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
十二震,去声,第六部,ia,葭,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈跏傢嘉斝賈贾檟槚价…,1/138
十二震,去声,第六部,ian,慭疢赆填趁蔺诊躏衅吝,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,10/580
